ID,PID,Text
1178,1178_3,"I developed a document and a post event survey for our mentor so that we could go over what worked and what could be improved on for the next year.""
"
967,967_0,"""One time that I encouraged people to discuss their different points of view was when I worked on the several small projects throughout the year."
152,152_0,"""By managing the Immersive Space, I am leading a team of 3 interns to accomplish our overall goals for progression of the space, as well on how to follow through with projects and assignments and collaborate with other parties across campus."
248,248_2,"My idea of handing out candies on Library Bridge inspired others to make food puns, like """"It's CRUNCH time,"""" (attached to a Crunch bar), to be handed out to students."
589,589_2,"I led two 45 min panel sessions and lead the discussion that included the pros/cons of Clemson and everyday tips to become a successful college student.
"
900,900_0,"""On couple of occasions, I came up with some plans which were different from what my mentor was envisaging, and those ideas were slightly more far-sighted."
657,657_1,"so I had to align people from different groups to work together to make this a reality.
"
916,916_2,"At one meeting, my mentor called us all together and asked us our interests and strengths to gear us towards the right project for each of us."
836,836_1,The clients often have an idea of what they want and the theme of what it should be.
731,731_0,"""In Task Force meetings, I worked alongside my fellow Task Force members to solve difficult problems in a short amount of time."
231,231_2,"We all shared different viewpoints, but had the same common goal.""
"
190,190_0,"""During academic recovery workshops, I led students in small groups that focused on them reaching the shared goal and vision of transferring to Clemson and what ways they could reach that goal."
858,858_6,"[Name] and I, who work closely with our full-time staff members facilitated the questions and assured everyone that their concerns were being heard, even if they felt nothing was being done about it."
1069,1069_0,"""The input of Power BI by me made the data analyzing and visualizing really easy and neat, and it encouraged the entire quality team to learn about it."
1286,1286_3,"I also assisted in breaking up the classification of prior and current transactions to fit with our new classification.""
"
1239,1239_1,"Everyone had the opportunity to bring ideas to the table and there was a serious conversation about cultural/socially acceptable words.""
"
318,318_1,"One member in our department didn't agree and he sat down and talked with her multiple times to try to resolve issues.
"
828,828_2,"We ended up taking what they had recommended and further exploring ideas with Campus Banner and Design.""
"
11,11_3,"We could have just all done something on our own but instead we all helped each other with the planning, preparing, and running of each other's activity for the fair."
13,13_0,"A lot of people come to my boss for advise and i picked up very good lessons from it
"
169,169_0,"""Daily, I questioned my fellow coworkers at our meeting to share what projects they were working on and asked how I could assist."
927,927_1,"There were several important people in attendance and I got my first real insight on how to step in and aid through minor leadership at a board meeting.""
"
76,76_0,"""As being a seasoned intern with the Senate, the new interns often come to me with questions or asking for advice with their tasks.""
"
930,930_2,We all had the same goal of making sure each of us represent the Honors College and Clemson in the best possible way.
792,792_0,"Met deadlines
"
1283,1283_4,"I had to lean on him heavily for the questions related to being a Person of Color where as I could pull from my experience as a female for questions related to sexism.
"
770,770_0,"""Leadership can be a tricky thing."
1047,1047_1,"I am simply an average employee.""
"
600,600_1,"I think one of my biggest assets is being able to convince a group of people to be interested in a topic, which I think is due to my positive attitude and passion for things I'm a part of."
1077,1077_1,He gathered a group of us to collaborate and work towards achieving the idea he had in mind.
922,922_2,"Upon assigning project managers, I had to train them and get them up to speed with what their role would require.""
"
8,8_0,"""This semester, my main priority was to create a training program for future medical scribes that the Sullivan Center hires."
1332,1332_0,"""With new SECs coming on board, I have used my experience this semester to train and correctly show them how to work with clients and get the approvals needed.""
"
365,365_2,"My first step was getting her onboard with the vision of what [mentor] expected from us and laying out a plan of how to get there over the semester.""
"
1132,1132_1,"During this talk I explained our options on campus, off campus, and pricing options."
145,145_0,"""Being involved with many behind the scenes processes at CORE allowed me to see how effective leadership is implemented."
1293,1293_2,"I encouraged my team to express different ideas they had for this to create a new vision for our workshops.
"
406,406_1,"To make sure everything was done every day, I had to step up and set a good example by rounding everyone up and getting them to do what was needed rather than slack off."
830,830_0,"My mentor assigned individual tasks to all the interns so that we could complete projects as efficiently as possible.
"
146,146_1,"This proved to be a difficult task at first but once everyone got used to meeting the times we met became simple and more productive.""
"
